,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
2762,鳥羽グランドホテル,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2763,湯源郷 太平のゆ 忠岡店,0,6,対象：男女,90,16,80,16.4,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
2764,井筒湯,0,0,対象：男女,83,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2765,ホテルメ湯楽々,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2766,鳥羽国際ホテル 潮路亭,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2767,瀬戸大橋スパリゾート,16,9,対象：男女,106,16,65,5,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
2768,戸田家,0,1,男性専用,80,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
2769,オーキドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2770,セントラルフィットネスクラブ福山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2771,コナミスポーツクラブ和泉府中,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2772,サウナ&カプセル コスモシティ福山,2,7,男性専用,96,16,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2773,栄温泉,0,1,対象：男女,?,?,-,25,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
2774,パルシェ香りの湯,1,1,対象：男女,90,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2775,東急スポーツオアシス狭山店|フィットネスクラブ・ジム,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2776,ホテル アルティア鳥羽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2777,広島市国民宿舎 湯来ロッジ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2778,コナミスポーツクラブ光明池,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2779,満天の湯 温泉家,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2780,峰温泉ほたるの湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2781,明日香のお風呂「太子の湯」,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2782,福山コロナの湯天然温泉,2,2,対象：男女,90,16,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2783,いにしえの宿 伊久(いきゅう),1,4,対象：男女,85,18,80,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
2784,ふかわの湯,0,0,男性専用,85,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
2785,ダイヤモンド瀬戸内マリンホテル,0,2,対象：男女,90,25,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2786,コナミスポーツクラブ東岸和田,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2787,天然温泉 うら湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2788,鷲羽山吹上温泉 鷲羽ハイランドホテル,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2789,いじか荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2790,サン浦島 悠季の里,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2791,道の駅 願成就温泉,2,81,男性専用,90,25.1,?,?,ng,ng,ng,ok,ng,ok,-,-,-,-,-,-
2792,ホテルエリアワン広島ウィング,0,1,男性専用,90,25,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2793,いいたかの湯,2,6,対象：男女,82,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2794,神勝寺温泉 昭和の湯,1,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2795,ゆーゆーファイブ,0,1,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
2796,五感の宿 慶泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2797,かもきみの湯,0,2,対象：男女,90,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2798,天然温泉 尾道みなと館,1,3,対象：-,90,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
2799,なごみ湯,2,0,対象：男女,-,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2800,りんくうの湯,1,18,対象：男女,89,20,90,20,ok,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
2801,栗原温泉,1,3,対象：男女,94,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,ng
2802,関空温泉ホテルガーデンパレス,0,1,対象：-,92,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
2803,極楽寺山温泉 アルカディア・ビレッジ,0,2,対象：男女,?,?,80,17,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
2804,浜の雅亭一井,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2805,ホテル賀茂川荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2806,リゾートヒルズ豊浜 Resort Hills Toyohama～ 蒼空の風～,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2807,グランドサウナ広島,30,59,男性専用,90,20,74,24,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2808,ANAクラウンプラザホテル広島,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2809,東急スポーツオアシス広島|ジム・ホットヨガ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2810,安芸の湯ドーミーイン広島,1,4,対象：男女,90,25,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
2811,ホテル28広島,0,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2812,音戸温泉,17,24,対象：男女,84,18,84,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
2813,小瀬川温泉 お食事処「うどんの里」,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2814,江戸風呂,13,5,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
2815,松阪わんわんパラダイス 森のホテルスメール,0,1,対象：男女,75,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2816,【閉店】牛滝温泉 いよやかの郷,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2817,半べえ温泉,6,24,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2818,伊勢志摩ロイヤルホテル,0,1,対象：-,?,?,80,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
2819,天然温泉さがの海田,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2820,大学湯,2,2,対象：男女,-,18,-,-,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
2821,楊貴館,0,1,対象：男女,90,19,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2822,樽井温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
