,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4434,ラーラ松本,6,8,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4435,セントラルウェルネスクラブ仙台南小泉,0,13,対象：男女,86,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4436,リゾ鳴尾浜 天然温泉かもめの湯,2,6,対象：男女,90,21,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4439,フィットネスクラブ ティップネス 鶴見店,1,16,対象：男女,92,18,89,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4440,福水温泉,0,0,対象：男女,108,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4441,草津湯,2,3,対象：男女,90,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4442,一乃湯,2,23,対象：男女,110,23,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4446,空庭温泉,14,19,対象：男女,86,17.9,82,18.7,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
4447,スパジアム ジャポン,222,250,対象：男女,90,17.1,59,14.4,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
4448,湯本白金温泉ホテル,0,2,対象：男女,90,14,90,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4450,港南泉,2,4,対象：男女,90,22,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4452,草津湯,2,6,対象：男女,84,24,80,21,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4453,筑紫の湯,8,14,対象：男女,100,17,90,25,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4455,愛染湯,6,18,男性専用,88,22,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4456,箱根小涌園 天悠,3,4,対象：男女,92,18,92,18,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4458,きく湯,1,2,対象：男女,90,20,84,18,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
4460,西鉄イン小倉,2,10,対象：男女,90,25,90,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4461,スポーツクラブ ジョイフィット苫小牧柳町,0,27,対象：男女,90,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4463,住吉湯,0,1,対象：男女,50,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4464,ベルビーチゴルフクラブ,0,2,対象：男女,92,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4466,西鉄ホテルクルーム博多,5,13,対象：男女,89,18,81,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
