サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
はつらつの湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
高槻新温泉,1,3,対象：男女,60,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
錦温泉,2,8,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
北神戸ぽかぽか温泉,1,3,対象：男女,80,18,82,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
コナミスポーツクラブ高槻,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉クア・ガーデン,0,1,対象：男女,85,22,85,22,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
千代田温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
バーデハウス大沢温泉,2,3,対象：男女,92,17,90,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
明和温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯ったりハウス,0,11,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
大江戸温泉物語 箕面観光ホテル 箕面温泉スパーガーデン,2,4,対象：男女,90,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
コナミスポーツクラブ姫路中央,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
望月プラザ(もりの湯),0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
上方温泉一休京都本館,2,8,対象：男女,89,22,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
憩いの湯,3,1,対象：-,95,-,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
高槻市立ひかり湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ川西,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
五月湯,0,4,対象：男女,90,20,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
天然温泉白鷺の湯ドーミーイン姫路,3,9,対象：男女,92,17,90,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
森の湯,5,7,対象：男女,96,18,95,18,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
くれは湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
城南温泉,3,6,対象：男女,96,15,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
白雲谷温泉ゆぴか,2,5,対象：男女,?,?,90,18,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
コナミスポーツクラブ北千里,0,0,男性専用,84,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
宝乃湯,4,18,対象：男女,75,16.9,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
NESTA RESORT KOBE ホテル ザ・パヴォーネ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
懐かしの自然湯 熱川温泉一柳閣,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
癒楽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル竹島,1,1,対象：男女,98,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
東急スポーツオアシス茨木24Plus|24時間営業ジム,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
和気鵜飼谷温泉,0,0,対象：男女,100,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
国民宿舎 奥浜名湖,1,2,男性専用,90,23,80,22,ng,ng,ng,ng,ok,-,ng,ng,ng,ng,ng,-
蒲郡温泉 がまの湯,1,17,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ひがきホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ナチュールスパ宝塚,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル明山荘,1,2,対象：男女,96,18,?,?,ng,ng,ng,ok,ng,ok,-,-,-,-,-,-
天然温泉 ラグーナの湯,1,2,男性専用,65,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
共栄温泉,0,2,対象：男女,80,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
スパバレイ枚方南,0,2,対象：男女,85,17.5,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
道の駅(海の駅) あいおい白龍城,1,1,対象：男女,86,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
スーパー銭湯花の湯飾磨店,1,3,対象：男女,80,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
コロナの湯 豊川店,2,8,女性専用,98,15,87,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
有馬温泉 元湯 古泉閣,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
有馬グランドホテル ゆらり,0,1,対象：男女,84,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
歴史探訪 有馬温泉 太閤の湯,3,9,対象：男女,83,20,80,18.5,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
メープル有馬,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
