サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
白岩の湯,1,0,対象：男女,90,-,-,19,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng
セントラルフィットネスクラブ福生,0,0,対象：男女,94,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
草加やまとの湯,9,40,対象：男女,96,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
舞湯(シェラトン・グランデ・トーキョーベイ・ホテル オアシス),11,13,対象：男女,92,20,98,30,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ok,-
天然温泉ゆの郷 SpaNusaDua,44,50,対象：男女,90,18,86,18,ok,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
瀬戸内リトリート青凪 SETOUCHI AONAGI,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル五龍館,0,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
【閉店】【サウナ廃止】ロイヤルパークホテル ロイヤルフィットネスクラブ,2,0,対象：男女,98,19,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
鶴の湯,10,13,対象：男女,45,23,45,22,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng
TOWERS FITNESS CLUB,0,0,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
瀬戸内オーシャンスパ 汐音,4,2,対象：男女,-,18,45,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
えびす湯,2,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
国民宿舎 鵜の岬,0,1,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ヘルシーバス ニューSAKAE,3,10,対象：男女,100,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
ジェクサー・フィットネスクラブ 東神奈川,0,178,対象：男女,82,18,90,18.5,ng,ok,ng,ng,ok,ok,ng,ok,ng,ng,ng,ok
アパホテル〈横浜関内〉,3,1,対象：男女,86,17,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
仙台 秋保温泉 伝承千年の宿 佐勘,1,2,対象：男女,80,22,?,?,ng,ok,ng,ok,ok,ng,-,-,-,-,-,-
カンデオホテルズ亀山,0,1,男性専用,104,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
アグリ工房まあぶ,6,16,対象：男女,100,14,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
コトリの湯,2,2,対象：男女,55,18,53,16,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
カプセルホテル神戸三宮,2,3,男性専用,93,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
日の出湯,8,6,対象：男女,90,15,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
鶴の湯,12,9,対象：男女,100,22,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ホテルクラウンヒルズ 仙台青葉通り,0,2,対象：男女,85,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
木崎野温泉,0,6,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
大蔵湯,41,109,対象：男女,93,19,92,18,ng,ng,ng,ng,ok,ok,ng,ng,ng,ok,ok,ok
日奈久温泉 しのはらホテル 浜膳,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
アザレア千代田,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
【閉店】Pulse パルス,3,1,対象：男女,100,17,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
神明湯,7,4,対象：男女,98,19,92,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
友の湯,23,19,対象：男女,58,18,65,19,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
ホテル網走湖荘,1,5,対象：男女,85,20,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
阿寒丹頂の里 サークルハウス赤いベレー,1,2,対象：男女,90,16,89,-,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
湯宿だいいち,2,5,対象：男女,90,15,85,11,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
知床グランドホテル北こぶし,2,3,対象：男女,90,20,90,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
アクアガーデン栄湯,23,42,対象：男女,96,18,98,18,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
サウナ ベルデクラブ,6,7,男性専用,80,22,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
沼館温泉会館 ぬまだての湯っこ,1,6,対象：男女,92,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
みどり湯,12,23,対象：男女,92,20,102,22,ng,ng,ng,ok,ng,ok,ng,ng,ng,ng,ng,ok
広路湯,17,39,対象：男女,100,14,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
万楽温泉,1,0,対象：男女,90,15,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
オンリーゆー,0,0,対象：男女,60,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
高砂湯,61,337,対象：男女,96,18,89,20,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
岡田湯,42,26,対象：男女,100,20,75,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
KKR沼津はまゆう,0,2,対象：男女,89,-,-,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
喜久の湯,2,0,対象：男女,94,19,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
今治国際ホテル,0,2,対象：男女,95,18,90,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
津軽高原ゴルフ場,0,0,男性専用,80,-,?,?,ng,ng,ok,ng,ng,-,-,-,-,-,-,-
中村浴場,5,10,対象：男女,94,17,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
ホテルスポーツロッジ糸満,1,1,対象：男女,88,19,85,18,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
Okinawa Spa Resort EXES,5,2,対象：男女,98,22,92,21,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
フィットネスクラブ ティップネス 南行徳,1,0,対象：男女,90,15,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
センター南温泉 湯もみの里,34,84,対象：男女,92,18.5,87,16.8,ng,ok,ng,ok,ok,ok,ng,ok,ng,ok,ok,ok
祥楽の湯 一宮店,9,14,対象：男女,90,15,?,?,ok,ng,ng,ok,ok,ng,-,-,-,-,-,-
竜泉寺の湯 湘南茅ヶ崎店,18,76,対象：男女,80,17.1,75,17,ng,ok,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
セントラルフィットネスクラブ小手指,0,0,対象：男女,85,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
成田ビューホテル,1,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
桜湯,7,17,対象：男女,100,23,94,20,ng,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok
江東区スポーツ会館,10,1,対象：男女,100,20,90,20,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
なごみどころゆったら温泉,2,0,対象：男女,85,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
宮崎ライオンズホテル,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルニュー栃木屋,1,0,男性専用,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルスポーツパルコ,0,0,男性専用,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
リソル生命の森 日本メディカルトレーニングセンター大浴場,0,1,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天空の湯,1,0,対象：男女,102,14,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
堤柳泉(ていりゅうせん),10,15,対象：男女,90,23,96,25,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
セントラルフィットネスクラブ亀有,0,0,対象：男女,98,20,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
伊良湖ビューホテル,5,3,対象：男女,100,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
スポーツクラブ アクトス,0,0,対象：男女,85,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ホテル&コテージ白河関の里,1,0,男性専用,96,18,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
大津湯,5,2,対象：男女,90,18,90,18,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
(有)大幸温泉,1,1,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
湯～トピアきりしま,5,3,対象：男女,102,18,102,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
ふくろうの湯,0,1,対象：男女,85,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルウェルネスクラブ南千住,0,0,対象：男女,86,21,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
ゴールドジム 東中野東京,0,0,対象：男女,100,30,-,30,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ゴールド栃木プレジデントカントリークラブ,0,0,男性専用,90,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
琵琶湖マリオットホテル,1,2,男性専用,91,15,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
スポーツクラブ ルネサンス 両国,0,17,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
神栖市ふれあいセンター 湯楽々,3,5,対象：男女,102,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
セントラルウェルネスクラブ西新井,0,0,対象：男女,82,16,?,?,ok,ng,ng,ng,ng,-,-,-,-,-,-,-
かごしま空港ホテル,1,1,対象：男女,92,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
旭湯,18,61,対象：男女,108,18,78,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
近江湯,0,0,対象：男女,108,15,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
宮本温泉,3,3,対象：男女,100,17,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
龍泉の湯,38,131,対象：男女,89,17,82,17,ok,ok,ng,ok,ok,ok,ok,ok,ng,ok,ok,ok
花湯スパリゾート,25,54,対象：男女,95,22,87,-,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
セントラルウェルネスクラブ我孫子,0,3,対象：男女,82,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ホテル泰平,0,0,男性専用,95,17,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
フレンドシップハイツよしみ,0,2,対象：男女,86,26,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
ホテルno.1松山,0,2,対象：男女,88,22,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
伊勢崎平成イン,1,0,男性専用,100,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
湯快リゾート 山中温泉 山中グランドホテル,1,0,対象：男女,95,10,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
穂高荘倶楽部,0,0,対象：男女,45,14,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
入船湯,7,5,対象：男女,92,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ザバススポーツクラブ新松戸,0,0,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルウェルネスクラブ京成小岩,0,0,対象：男女,82,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
【閉店】天神湯,0,0,男性専用,84,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルウェルネスクラブ 葛西,0,1,対象：男女,80,18,-,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
タカラの湯,0,0,対象：男女,85,25,?,?,ng,ng,ok,ng,ng,-,-,-,-,-,-,-
出世温泉,6,157,対象：男女,70,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
シャレー志賀,0,0,対象：男女,110,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,ng
いやさか湯,12,41,対象：男女,92,22,86,18,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
熱海ニューフジヤホテル,2,5,対象：男女,80,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
宮の湯,0,1,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルフィットネスクラブ東戸塚,0,9,対象：男女,92,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,ng
隆の湯,4,10,対象：男女,98,20,-,-,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
高見湯,0,0,男性専用,50,13,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
萬歳湯,0,0,対象：男女,104,15,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
庚申湯,16,7,対象：男女,88,20,85,18,ng,ng,ng,ok,ng,ok,ng,ng,ng,ng,ng,ok
楽だの湯 稲沢店,2,10,対象：男女,90,17.5,90,17.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
湯快リゾート リゾートホテル 鳥羽彩朝楽,0,0,対象：男女,-,-,82,-,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
ゆざわ健康ランド(湯沢錦鯉ランド),3,6,対象：男女,100,28,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
東湯,1,1,男性専用,104,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
内原カントリー倶楽部,0,1,男性専用,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
宍戸ヒルズカントリークラブ,0,0,男性専用,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
カヌチャゴルフコース,3,0,男性専用,90,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルゴルフクラブ,0,0,男性専用,65,15,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
喜連川カントリークラブ&美肌温泉 ホテルきつれ川,0,14,対象：男女,94,16.4,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
土佐御苑,1,0,対象：男女,90,19,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
碧水の湯,7,4,男性専用,86,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
武雄温泉ハイツ,21,23,対象：男女,90,13,90,10,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
松の湯,6,47,対象：男女,94,20,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
美寿々湯,8,3,対象：男女,86,23,83,18,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
瀬戸谷温泉ゆらく,3,7,対象：男女,92,21,82,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
仁王門湯,15,16,対象：男女,100,17,100,16,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
椿館,1,1,対象：男女,94,19,80,19,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
イトシン浴場,3,3,対象：男女,106,16.5,106,16.5,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
睦湯,1,1,対象：男女,85,21,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
新呑川湯,6,5,対象：男女,110,22,110,30,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
天然温泉 源泉かけ流しの宿 鶴崎ホテル,2,1,男性専用,105,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
湯～ゆランドあずま,20,47,対象：男女,80,19,80,21,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng
ジェクサー・フィットネスクラブ 四谷,0,1,対象：男女,89,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
アゴーラ 福岡山の上ホテル&スパ,2,2,対象：男女,92,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
アクアプレイス旭,63,123,対象：男女,110,15,88,19,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng
あらたまの湯,3,14,対象：男女,85,20,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
リード・イン大森,2,5,男性専用,90,22,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
天然療養泉 とうえい温泉 花まつりの湯,5,48,対象：男女,92,18.9,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
西彼保健福祉センター 遊湯館,0,2,対象：男女,?,?,94,22,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
天然温泉 蓬莱湯,2,2,男性専用,-,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
竜泉寺の湯 豊田浄水店,2,17,対象：男女,86,19,-,18.1,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
極楽湯 千葉稲毛店,8,48,対象：男女,84,17.6,82,17.8,ng,ng,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
さつき湯,0,1,対象：男女,60,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ゴールドジム国立東京,0,0,対象：男女,96,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
クニタチスポーツガーデン,0,0,対象：男女,92,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ホテル 目黒エンペラー,8,1,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,ng
辰巳湯,17,33,対象：男女,96,20,76,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
大黒湯,3,2,対象：男女,95,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
井草湯,21,29,対象：男女,86,18.5,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
末広温泉,7,15,対象：男女,90,14,90,14,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
サウナ&カプセルホテルニュー小岩310,24,26,男性専用,110,14,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
スポーツクラブNAS聖蹟桜ヶ丘,1,0,対象：男女,92,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,ng
扇の湯,3,3,対象：男女,85,-,96,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
国民宿舎あぶくま荘,4,14,対象：男女,90,20,91,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
街なか100%天然温泉 ホテル シーアンドアイ 郡山,0,5,対象：男女,98,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
【閉店】自宅,3,3,対象：男女,48,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,ng
【閉店】富士箱根の湯 天恵,7,5,対象：男女,102,26,102,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
つくば温泉 喜楽里 別邸,36,60,対象：男女,82,15,80,14,ng,ok,ng,ok,ng,ng,ng,ok,ng,ok,ok,ng
ホテル京阪 ユニバーサル・タワー,2,9,対象：男女,93,18,90,28,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
スパ&フィットネス ルネサンス・アリオ札幌,0,96,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
扇港湯,2,1,対象：男女,90,16,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
小松グリーンホテル,2,11,対象：男女,96,19,92,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
パール温泉,0,1,対象：男女,80,19,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
稲荷山温泉 ホテル杏泉閣,0,0,対象：男女,100,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
浜の湯,6,7,対象：男女,-,-,94,24,ng,ng,ok,ng,ng,-,ng,ng,ng,ng,ng,-
おれんじ8(オレンジフェリー),0,1,男性専用,90,21,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
ホテルニューガイアイン中洲東(2019年6月2日リニューアル),11,78,男性専用,97,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
旭湯,3,6,対象：男女,94,24,-,-,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
駒ヶ峯温泉 ちゃっぷ林館,1,3,対象：男女,92,18,86,17,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
国民宿舎サンロード吉備路,0,5,対象：男女,90,19.5,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
明美湯,1,1,男性専用,45,23,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ニュー銭湯 豊川,0,0,対象：男女,82,15.5,42,14,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
南光自然観察村,44,9,対象：男女,90,-,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,ng
つつじの湯,2,10,対象：男女,90,21,84,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
娯楽湯,1,1,対象：男女,45,-,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
幸福温泉,1,1,男性専用,92,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
さめうら荘,0,0,対象：男女,100,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
東武スポーツクラブ リ・プレオン新越谷,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
城山観光ホテル さつま乃湯,1,5,対象：男女,45,20,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
サンプレイン長堀(心斎橋・難波 カプセルホテル&ビジネスホテル),5,9,対象：男女,90,16,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
田島新温泉,1,1,女性専用,90,17,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
金沢シティホテル,1,3,男性専用,78,21,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
鳥取グリーンホテルモーリス,0,2,男性専用,88,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
東青梅セントラルスポーツクラブ,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
セントラルフィットネスクラブ西東京,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
かぎや温泉,1,3,対象：男女,94,18.5,88,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ネクセル リラクゼーション&スパ,2,9,男性専用,92,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
スポーツクラブ ルネサンス ひばりヶ丘,3,4,対象：男女,92,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
スポーツクラブ ルネサンス 東久留米,0,2,対象：男女,99,22,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,ng
七福湯,6,12,対象：男女,96,17,89,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
真駒内湯,0,3,対象：男女,50,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
オンワード総合研究所 人材開発センター,0,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
奄美ポートタワーホテル,0,2,対象：男女,89,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
びざんの湯,1,10,対象：男女,92,22,82,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
喜多の湯,0,3,対象：男女,80,18,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
富山県西部体育センター,0,2,対象：男女,92,21,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
山陽館,1,3,対象：男女,90,18,82,26,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
鹿角市大湯温泉保養センター 湯都里,3,2,対象：男女,94,-,90,18,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
スポーツクラブNAS永山,0,1,対象：男女,92,22,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
大黒湯,62,112,対象：男女,87,20,87,18,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
喜楽湯,6,14,対象：男女,93,16,80,19,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
むらさき湯,16,13,対象：男女,110,17.5,85,14,ng,ng,ng,ok,ng,ok,ng,ng,ng,ok,ok,ok
湯～らんど パルとよね,0,5,対象：男女,98,16,94,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
高槻天然温泉 天神の湯,5,15,対象：男女,48,18,45,20,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
ビジテルほんまち,0,1,男性専用,94,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
【閉店】ニュー銭湯司湯,0,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
唐桑民宿つなかん サウナトースター,36,20,対象：男女,90,7.5,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,ng
花紋,3,2,対象：男女,90,22,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
OYADO HARU'S,1,2,対象：男女,90,-,46,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
天然温泉 紺碧の湯 ドーミーイン高知,4,7,対象：男女,100,15,95,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
カプセル イン ミヤコ,2,5,男性専用,87,23,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ホテル日立プラザ,2,8,対象：男女,88,24,?,?,ng,ng,ok,ng,ok,-,-,-,-,-,-,-
ビューホテル平成,0,1,対象：男女,84,20,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
富士山天母の湯,1,3,対象：男女,50,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
ホテルパーレンス小野屋,0,1,対象：男女,98,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
開発鉱泉,2,0,対象：男女,102,23,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
千羽平ゴルフクラブ,0,1,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
満ちてくる心の宿 吉夢,3,3,対象：男女,90,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
竹の湯,11,8,対象：男女,108,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
モンテインホテル,0,2,対象：男女,80,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
ホテルふじ,1,1,対象：男女,92,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
旭湯,7,9,対象：男女,45,-,41,-,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
